first_name,last_name,your_school,purchased_school,your_position,purchased_position
Bobby,Blizzard,Chicago State,Hampton University,Offensive Coordinator,Assistant Coach (Wide Receivers)
Le'Marcus,Gibson,Chicago State,Hampton University,Defensive Coordinator,"Assistant Coach (Safeties, Defensive Passing-Game Coordinator)"
Chad,Bowden,Notre Dame,University of Southern California,Director of Player Personnel,General Manager
Nunzio,Campanile,UConn,Syracuse University,Offensive Coordinator,"Associate Head Coach (Tight Ends, Offense)"
Tim,Drevno,UConn,Northwestern University,Offensive Line Coach,Assistant Coach (Offensive Line)
Chris,Haering,UConn,West Virginia University,Tight Ends Coach,Assistant Coach (Special Teams)
Ryan,Manalac,UConn,University of Pittsburgh,Defensive Coordinator,Assistant Coach (Linebackers)
Brian,White,UConn,University of Massachusetts - Amherst,Running Backs Coach,Assistant Coach (Offensive Line)
Kevin,Bracken,Dartmouth,Dartmouth College,Assistant Coach - Secondary,Assistant Coach (Defensive Backs)
Duane,Brooks,Dartmouth,Dartmouth College,Assistant Coach - Defensive Line,Assistant Coach (Defensive Line)
Keith,Clark,Dartmouth,Dartmouth College,Assistant Coach - Offensive Line,Assistant Coach (Offensive Line)
Kevin,Daft,Dartmouth,Dartmouth College,Associate Head Coach - Tight Ends,Associate Head Coach (Tight Ends)
Don,Dobes,Dartmouth,Dartmouth College,Assistant Coach - Defensive Coordinator/Linebackers,"Assistant Coach (Defensive Coordinator, Linebackers)"
Mike,Johnson,Dartmouth,Dartmouth College,Assistant Coach - Cornerbacks,Assistant Coach (Cornerbacks)
Sammy,McCorkle,Dartmouth,Dartmouth College,Head Football Coach,Head Coach
Shane,Montgomery,Dartmouth,Dartmouth College,Assistant Coach - Offensive Coordinator/Quarterbacks,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Ed,Borden,Penn,University of New Hampshire,Tight Ends/Co-Offensive Coordinator,"Assistant Coach (Co-Offensive Coordinator, Tight Ends)"
Sean,Coyne,Penn,University of New Hampshire,Wide Receivers,Assistant Coach (Wide Receivers)
Nick,Della Jacono,Penn,University of New Hampshire,Linebackers/Co-Defensive Coordinator,"Assistant Coach (Linebackesr, Special Teams)"
Tyree,Foreman,Penn,University of Pennsylvania - Penn,Running Backs,Assistant Coach (Tight Ends)
Isaiah,Gilmore,Penn,University of New Hampshire,Cornerbacks,Assistant Coach (Cornerbacks)
Tommy,Herion,Penn,University of New Hampshire,Quarterbacks Coach,Assistant Coach (Quarterbacks)
David,Josephson,Penn,University of Pennsylvania - Penn,Safeties/Recruiting Coordinator,"Assistant Coach (Wide Receivers, Passing-Game Coordinator"
Elias,Miller,Penn,University of Pennsylvania - Penn,Director of Football Operations,Director of Operations
Jaysen,Thompson,Penn,University of New Hampshire,Defensive Line/Co-Defensive Coordinator,"Recruiting Coordinator, Assistant Coach (Defensive Line)"
Justin,Trevisani,Penn,University of New Hampshire,Director of Player Personnel,"General Manager, Director of Operations, Pro Liaison"
Ryan,Wilson,Penn,University of New Hampshire,Offensive Line/Co-Offensive Coordinator,"Assistant Coach (Co-Offensive Coordinator, Offensive Line)"
Ola,Adams,Akron,Indiana University,Running Backs Coach,"Assistant Coach (Defensive Backs, Safeties)"
Kelvin,Bell,Akron,University of Iowa,Linebackers Coach,Assistant Coach (Defensive Line)
Matt,Lubick,Akron,University of Kansas,Offensive Coordinator,"Assistant Coach (Co-Offensive Coordinator, Tight Ends)"
Marcus,Walker,Akron,Towson University,Defensive Coordinator,Assistant Coach (Cornerbacks)
Brandon,Cooper,Ball State,Troy University,Offensive Line Coach,Assistant Coach (Cornerbacks)
Kevin,Lynch,Ball State,Butler University,Tight Ends Coach,Head Coach
Tyler,Stockton,Ball State,Boise State University,Defensive Coordinator,"Assistant Coach (Co-Defensive Coordinator, Safeties)"
Eddie,George,Bowling Green,Bowling Green State University,Head Coach,Head Coach
Deonte,Gibson,Bowling Green,University of Wyoming,Defensive Line Coach,Assistant Coach (Defensive Tackles)
Terry,Richardson,Bowling Green,University of Akron,Running Backs Coach,Assistant Coach (Running Backs)
Jeff,Burrow,Buffalo,University of Arkansas at Pine Bluff,Defensive Coordinator,"Assistant Coach (Defensive Coordinator, Safeties)"
Pete,Lembo,Buffalo,SUNY University at Buffalo,Head Coach,Head Coach
Nick,Hill,Central Michigan,Southern Illinois University Carbondale,Running Backs,Head Coach (Second Email)
Shawn,Watson,Central Michigan,Wofford College,Wide Receivers,Head Coach
Lamar,Owens,Eastern Michigan,Citadel Military College of South Carolina,Running Backs,"Assistant Coach (Offensive Coordinator, Wide Receivers)"
Matt,Campbell,Kent State,Penn State,Special Teams,Head Coach
Liam,Klein,Kent State,Georgia Tech,Defensive Coordinator/Linebackers,Director of Recruiting
Brian,Mitchell,Kent State,North Carolina State University,Safeties,Assistant Coach (Cornerbacks)
Colt,Arthur,Miami (OH),Miami University,Graduate Assistant,Graduate Assistant
Johnny,Aylward,Miami (OH),Miami University,Special Teams Coordinator,Assistant Coach (Special Teams)
Jonny,Becker,Miami (OH),Miami University,Graduate Assistant,Graduate Assistant
Bill,Brechin,Miami (OH),Miami University,Defensive Coordinator/Linebackers,"Assistant Coach (Defensive Coordinator, Linebackers)"
Andy,Cruse,Miami (OH),Miami University,Wide Receivers,Assistant Coach (Wide Receivers)
Lynn,Davenport,Miami (OH),Miami University,Director of Scouting,Director of Scouting
Isiah,Dunning,Miami (OH),SUNY University at Buffalo,Defensive Line Coach,Assistant Coach (Defensive Line)
Brandon,Harris,Miami (OH),University of Texas - Austin,Director of Player Personnel,General Manager
Chris,Hudson,Miami (OH),Miami University,Running Backs,Assistant Coach (Running Backs)
Jeremiah,Josephs,Miami (OH),Miami University,Graduate Assistant,Graduate Assistant
Coady,Keller,Miami (OH),Miami University,General Manager,General Manager
Terrance,Knighton,Miami (OH),Florida State University,Defensive Tackles,Assistant Coach (Defensive Line)
Justin,Lustig,Miami (OH),Penn State,Special Teams Coordinator/Tight Ends,Assistant Coach (Special Teams)
Drew,Martin,Miami (OH),Miami University,Director of Player Personnel,Director of Player Personnel
Spence,Nowinsky,Miami (OH),University of New Mexico,Defensive Coordinator/Linebackers,Assistant Coach (Defensive Coordinator)
Gus,Ragland,Miami (OH),Miami University,Quarterbacks,Assistant Coach (Quarterbacks)
Zane,Ries,Miami (OH),Miami University,Safeties,Assistant Coach (Safeties)
Ben,Tarpey,Miami (OH),Miami University,Graduate Assistant,Graduate Assistant
Rod,West,Miami (OH),West Virginia University,Cornerbacks,Assistant Coach (Cornerbacks)
Mitchell,White,Miami (OH),Miami University,Defensive Backs,Assistant Coach (Defensive Backs)
Matt,Yoches,Miami (OH),Miami University,Director of Football Operations,Director of Operations
Brad,Davis,Northern Illinois,Louisiana State University (LSU),Offensive Line,Assistant Coach (Offensive Line)
Kurt,Mattix,Ohio,University of North Carolina at Charlotte,Defensive Coordinator,"Assistant Coach (Co-Defensive Coordinator, Defensive Line)"
Aaron,Foster,Toledo,University of Texas - El Paso,Cornerbacks Coach,"Assistant Coach (Cornerbacks, Defensive Passing-Game Coordinator)"
Zack,Johnson,Fairmont State,Charleston Southern University,Associate Head Coach / Defensive Coordinator / Linebackers,Assistant Coach (Linebackers)
Ron,Brown,Wheeling,University of Nebraska,Defensive Line Coach,"Assistant Coach (Fullbacks, Kick Returners)"
Chris,Brown,Fort Hays State,University of Hawaii at Manoa,Head Coach,Associate Head Coach (Linebackers)
Ryan,McCarthy,Washburn,Lamar University,Graduate Assistant,Assistant Coach
Craig,Schurig,Washburn,University of North Alabama,Head Football Coach,Assistant Coach (Quarterbacks)
Marc,Bacote,Air Force,United States Air Force Academy,Tight Ends,Assistant Coach (Tight Ends)
Troy,Calhoun,Air Force,United States Air Force Academy,Head Coach,Head Coach (Second Email)
Jake,Campbell,Air Force,United States Air Force Academy,Slot Backs,"Assistant Coach (Wide Receivers, Slot Backs)"
Mookie,Carlile,Air Force,United States Air Force Academy,Assistant Safeties,Assistant Coach (Safeties)
Tim,Horton,Air Force,United States Air Force Academy,Running Backs/Special Teams Coordinator,"Assistant Coach (Running Backs, Special Teams)"
Charlie,Jackson,Air Force,United States Air Force Academy,Asst. Head Coach/Defensive Backs Coach,Assistant Coach (Defensive Backs)
Brian,Knorr,Air Force,United States Air Force Academy,Defensive Coordinator,Assistant Coach (Defensive Coordinator)
Ken,Lamendola,Air Force,United States Air Force Academy,Inside Linebackers,Assistant Coach (Inside Linebackers)
Steed,Lobotzke,Air Force,United States Air Force Academy,Offensive Line,Assistant Coach (Offensive Line)
Alex,Means,Air Force,United States Air Force Academy,Defensive Line,Assistant Coach (Defensive Line)
Brett,Skene,Air Force,United States Air Force Academy,Specialists/Assistant Offensive Line,"Assistant Coach (Offensive Line, Special Teams)"
Taylor,Stubblefield,Air Force,United States Air Force Academy,Wide Receivers Coach,Assistant Coach (Wide Receivers)
Mike,Thiessen,Air Force,United States Air Force Academy,Off. Coordinator/Quarterbacks,"Assistant Head Coach (Offensive Coordinator, Quarterbacks)"
Nick,Toth,Air Force,United States Air Force Academy,Safeties and Nickels,"Assistant Coach (Safeties, Nickelbacks)"
Fred,Wyatt,Air Force,United States Air Force Academy,Assistant Defensive Line,Assistant Coach (Defensive Line)
Anthony,Arceneaux,Hawaii,University of Hawaii at Manoa,Offensive Coordinator/Running Backs,"Assistant Coach (Offensive Coordinator, Running Backs)"
Chris,Brown,Hawaii,University of Hawaii at Manoa,Associate Head Coach/Linebackers,Associate Head Coach (Linebackers)
Timmy,Chang,Hawaii,University of Hawaii at Manoa,Head Coach,Head Coach (Second Email)
Derek,Faavi,Hawaii,University of Hawaii at Manoa,Offensive Line,Assistant Coach (Offensive Line)
Chad,Kapanui,Hawaii,University of Hawaii at Manoa,Quarterbacks,Assistant Coach (Quarterbacks)
Winterhawk,Leighton,Hawaii,University of Hawaii at Manoa,Assistant Offensive Line/Run Game,"Assistant Coach (Offensive Line, Running-Game Coordinator)"
Nick,Locher,Hawaii,University of Hawaii at Manoa,Safeties,Assistant Coach (Safeties)
PJ,Minaya,Hawaii,University of Hawaii at Manoa,Cornerbacks,Assistant Coach (Cornerbacks)
Jordan,Pu'u-Robinson,Hawaii,University of Hawaii at Manoa,Defensive Ends,Assistant Coach (Defensive Ends)
Jeff,Reinebold,Hawaii,University of Hawaii at Manoa,Defensive Tackles,Assistant Coach (Defensive Tackles)
Thomas,Sheffield,Hawaii,University of Hawaii at Manoa,Special Teams Coordinator/Tight Ends,"Assistant Coach (Tight Ends, Special Teams)"
Dennis,Thurman,Hawaii,University of Hawaii at Manoa,Defensive Coordinator,"Assistant Coach (Defensive Coordinator, Cornerbacks)"
Jared,Ursua,Hawaii,University of Hawaii at Manoa,Pass Game Coordinator/Wide Receivers,"Assistant Coach (Wide Receivers, Passing-Game Coordinator)"
Tevis,Bartlett,Nevada,University of Nevada - Reno,Assistant Defensive Line,Assistant Coach (Defensive Line)
Brett,Bartolone,Nevada,University of Colorado - Boulder,Offensive Coordinator,"Graduate Assistant (Tight Ends, Offensive Passing-Game Coordinator)"
Jake,Belzer,Nevada,University of Nevada - Reno,Defensive Graduate Assistant (DL),"Graduate Assistant (Defense, Defensive Line)"
Jeff,Choate,Nevada,University of Nevada - Reno,Head Coach,Head Coach
Cole,Flores,Nevada,University of Nevada - Reno,Defensive Graduate Assistant,Graduate Assistant (Defense)
Virgil,Green,Nevada,University of Nevada - Reno,Director of Player Development/Assistant Tight Ends,Assistant Coach (Tight Ends)
Parker,Henry,Nevada,University of Nevada - Reno,Special Teams Coordinator/Nickels,"Assistant Coach (Nickelbacks, Special Teams)"
Kane,Ioane,Nevada,University of Nevada - Reno,Defensive Coordinator,Assistant Coach (Defensive Coordinator)
Nico,Johnson,Nevada,University of Nevada - Reno,Inside Linebackers,Assistant Coach (Inside Linebackers)
Jim,Mastro,Nevada,University of Nevada - Reno,Running Backs,Assistant Coach (Running Backs)
Bobby,Merritt,Nevada,University of Nevada - Reno,General Manager,General Manager
Eli,Miller,Nevada,University of Nevada - Reno,Director of Football Operations,Director of Operations
Nikhil,Nayar,Nevada,University of Nevada - Reno,Offensive Graduate Assistant,Graduate Assistant (Offense)
Cameron,Norcross,Nevada,University of Montana,Offensive Line,Assistant Coach (Offensive Line)
Keith,Price,Nevada,Boise State University,Wide Receivers,Graduate Assistant (Offense)
Payam,Saadat,Nevada,University of Nevada - Reno,Associate Head Coach/Interior Defensive Line,Associate Head Coach (Defensive Tackles)
Joey,Thomas,Nevada,University of Nevada - Reno,Passing Game Coordinator/Secondary,"Assistant Coach (Defensive Backs, Defensive Passing-Game Coordinator)"
Trey,Tinsley,Nevada,University of Nevada - Reno,Offensive Graduate Assistant,Graduate Assistant (Offense)
Erik,Link,New Mexico,University of Missouri,Assistant Head Coach/Special Teams Coordinator,Assistant Coach (Special Teams)
Darrius,Smith,New Mexico,Southern Utah University,Running Backs,"Recruiting Coordinator, Assistant Head Coach (Running Backs)"
Del,Alexander,UNLV,University of Nevada - Las Vegas,Wide Receivers Coach,Assistant Coach (Wide Receivers)
Bam,Amina,UNLV,University of Nevada - Las Vegas,Linebackers,Assistant Coach (Linebackers)
Austin,Armstrong,UNLV,University of Houston,Linebackers Coach,Assistant Coach (Defensive Coordinator)
Jeremy,Bruce,UNLV,University of Nevada - Las Vegas,Outside Linebackers,Assistant Coach (Outside Linebackers)
Akeem,Davis,UNLV,University of Nevada - Las Vegas,Cornerbacks,Assistant Coach (Cornerbacks)
Corey,Dennis,UNLV,University of Nevada - Las Vegas,Offensive Coordinator/Quarterbacks,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Quinton,Ganther,UNLV,University of Nevada - Las Vegas,Running Backs,Assistant Coach (Running Backs)
Paul,Guenther,UNLV,University of Nevada - Las Vegas,Associate Head Coach/Defensive Coordinator,"Associate Head Coach (Defensive Coordinator, Safeties)"
Zach,Hanson,UNLV,University of Southern California,Offensive Line Coach,"Assistant Head Coach (Offensive Line, Offense)"
Ricky,Logo,UNLV,University of Nevada - Las Vegas,Defensive Line,Assistant Coach (Defensive Line)
Brennan,Marion,UNLV,University of Colorado - Boulder,Offensive Coordinator,Assistant Coach (Offensive Coordinator)
Adrian,Mayes,UNLV,University of Nevada - Las Vegas,Tight Ends & Run Game Coordinator,"Assistant Coach (Tight Ends, Running-Game Coordinator)"
Dan,Mullen,UNLV,University of Nevada - Las Vegas,Head Coach,Head Coach
Corey,Raymond,UNLV,Louisiana State University (LSU),Secondary Coach,Assistant Coach (Defensive Backs)
Adam,Scheier,UNLV,University of Nevada - Las Vegas,Special Teams Coordinator,Assistant Coach (Special Teams)
Mike,Sollenne,UNLV,University of South Florida,Offensive Line,"Assistant Coach (Offensive Line, Offensive Running-Game Coordinator)"
Tony,White,UNLV,Florida State University,Defensive Coordinator,Assistant Coach (Defensive Coordinator)
Rob,Snyder,Illinois State,Nicholls State University,Assistant Coach/Defensive Line,Assistant Coach (Defensive Line)
Lewis,Walker,North Dakota State,Monmouth University,Cornerbacks Coach,Assistant Coach (Defensive Coordinator)
James,Bain,South Dakota,University of Minnesota,Offensive Line,Assistant Coach (Offensive Line)
Mike,Bangtson,South Dakota State,Sam Houston State University,Offensive Line Coach,Assistant Coach (Offensive Line)
Dan,Clark,Southern Illinois,Southern Illinois University Carbondale,Offensive Line,Assistant Coach (Offensive Line)
Darius,Davis,Southern Illinois,Southern Illinois University Carbondale,Defensive Line,Assistant Coach (Defensive Line)
Nathan,Frame,Southern Illinois,Southern Illinois University Carbondale,Special Teams Coordinator/Defensive Asst.,"Assistant Coach (Defense, Special Teams)"
Zach,Grant,Southern Illinois,University of Cincinnati,Wide Receivers/Recruiting Coordinator,General Manager (Second Email)
Nate,Griffin,Southern Illinois,Southern Illinois University Carbondale,Tight Ends,Assistant Coach (Tight Ends)
Nick,Hill,Southern Illinois,Southern Illinois University Carbondale,Head Coach,Head Coach (Second Email)
Mac,McLeran,Southern Illinois,Southern Illinois University Carbondale,Linebackers/Defensive Run Game Coordinator,"Assistant Coach (Linebackers, Defensive Running-Game Coordinator)"
Ryan,McVicker,Southern Illinois,Southern Illinois University Carbondale,Quarterbacks,Assistant Coach (Quarterbacks)
Eriq,Moore,Southern Illinois,Southern Illinois University Carbondale,Cornerbacks,Assistant Coach (Cornerbacks)
Lee,Pronschinske,Southern Illinois,Southern Illinois University Carbondale,Defensive Coordinator/Safeties,"Assistant Coach (Defensive Coordinator, Safeties)"
Larry,Warner,Southern Illinois,Southern Illinois University Carbondale,Running Backs,Assistant Coach (Running Backs)
Brendan,Smith,Bentley,SUNY University at Albany,Special Teams Coordinator & Linebackers Coach,"Recruiting Coordinator, Assistant Coach (Tight Ends)"
Canaan,Brooks,Central Connecticut,Central Connecticut State University,Running Backs,Assistant Coach (Running Backs)
Abbott,Burrell,Central Connecticut,Central Connecticut State University,Safeties/Academic Coordinator,Assistant Coach (Safeties)
Zach,Deldin,Central Connecticut,Central Connecticut State University,Tight Ends/Recruiting Coordinator,"Recruiting Coordinator, Assistant Coach (Tight Ends)"
Ron,DiGravio,Central Connecticut,Central Connecticut State University,Defensive Coordinator/Inside Linebackers,"Assistant Coach (Defensive Coordinator, Inside Linebackers)"
Jack,Dolan,Central Connecticut,Central Connecticut State University,WR/Specialists,"Assistant Coach (Wide Receivers, Special Teams)"
Caleb,Gelsomino,Central Connecticut,Central Connecticut State University,Offensive Coordinator/Quarterbacks,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Kyle,Holt,Central Connecticut,Central Connecticut State University,Outside Linebackers/Video Coordinator,Assistant Coach (Outside Linebackers)
Adam,Lechtenberg,Central Connecticut,Central Connecticut State University,Head Coach,Head Coach
Aaron,Mershman,Central Connecticut,Central Connecticut State University,Offensive Line,Assistant Coach (Offensive Line)
Joe,Rankin,Central Connecticut,Central Connecticut State University,Co-Special Teams Coordinator/Cornerbacks,"Assistant Coach (Cornerbacks, Co-Special Teams)"
Charles,Williams,Central Connecticut,Central Connecticut State University,Co-Special Teams Coordinator/Defensive Line,"Assistant Coach (Defensive Line, Co-Special Teams)"
Ron,Cooper,LIU,Long Island University,Head Coach,Head Coach
Troy,Douglas,LIU,Long Island University,Assistant Head Coach/Defensive Backs Coach,Assistant Head Coach (Defensive Backs)
TyQuan,Hammock,LIU,Long Island University,Defensive Coordinator/Linebackers Coach,"Assistant Coach (Defensive Coordinator, Linebackers)"
Jordan,Hutzler,LIU,Long Island University,Director of Football Operations/On-Campus Recruiting Coordinator,"On-Campus Recruiting Coordinator, Director of Operations"
Ryan,Jirgl,LIU,Long Island University,Special Teams Coordinator/Running Backs Coach,"Assistant Coach (Running Backs, Special Teams)"
Devin,Merritt,LIU,Long Island University,Edge Coach/Recruiting Coordinator,"Recruiting Coordinator, Assistant Coach (Edge Rushers)"
Ollie,Ogbu,LIU,Long Island University,Defensive Line Coach/Run Game Coordinator,"Assistant Coach (Defensive Line, Defensive Running-Game Coordinator)"
Ian,Pace,LIU,Long Island University,Offensive Line Coach/Run Game Coordinator,"Assistant Coach (Offensive Line, Running-Game Coordinator)"
John,Roberts,LIU,Long Island University,Co-Offensive Coordinator/Quarterbacks Coach,"Assistant Coach (Co-Offensive Coordinator, Quarterbacks)"
Kahmal,Roy,LIU,Long Island University,Wide Receivers Coach,Assistant Coach (Wide Receivers)
Kort,Shankweiler,LIU,Long Island University,Offensive Coordinator/Tight Ends Coach,"Assistant Coach (Offensive Coordinator, Tight Ends)"
Brenden,Young,LIU,Long Island University,Cornerbacks Coach,Assistant Coach (Cornerbacks)
Ty,Aeschbacher,Robert Morris,Robert Morris University - Pennsylvania,Assistant Coach (Special Teams Coordinator/TE),"Assistant Coach (Tight Ends, Special Teams)"
Anthony,Cicione,Robert Morris,Robert Morris University - Pennsylvania,Assistant Coach (DB),Assistant Coach (Safeties)
Marshall,Cooper,Robert Morris,Robert Morris University - Pennsylvania,Assistant Coach (LB),Assistant Coach (Linebackers)
Nick,Dalton,Robert Morris,Robert Morris University - Pennsylvania,Assistant Coach (RB),Assistant Coach (Running Backs)
John,French,Robert Morris,Robert Morris University - Pennsylvania,Assistant Coach (Recruiting Coordinator/WR),"Recruiting Coordinator, Assistant Coach (Wide Receivers, Passing-Game Coordinator)"
Rod,Holder,Robert Morris,Robert Morris University - Pennsylvania,Associate Head Coach (OL),Associate Head Coach (Offensive Line)
Jason,Makrinos,Robert Morris,Robert Morris University - Pennsylvania,Assistant Coach (Defensive Coordinator/CB),"Assistant Coach (Defensive Coordinator, Cornerbacks)"
David,Rosen,Robert Morris,Robert Morris University - Pennsylvania,Director of Football Operations,Director of Operations
Troy,Rothenbuhler,Robert Morris,Robert Morris University - Pennsylvania,Assistant Coach (Offensive Coordinator/QB),"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Sam,Scott,Robert Morris,Robert Morris University - Pennsylvania,Assistant Coach (DL),Assistant Coach (Defensive Line)
Brian,Wright,Saint Francis,Northern Arizona University,Wide Receivers Coach,Head Coach
Dylan,Berardelli,Stonehill,Stonehill College,Offensive Line,"Assistant Coach (Offensive Line, Running-Game Coordinator)"
Nathan,Engle,Stonehill,Stonehill College,Director of Football Operations/Equipment,Director of Operations
Nick,Flores,Stonehill,Stonehill College,Recruiting Coordinator/Defensive Line,"Recruiting Coordinator, Assistant Coach (Defensive Line)"
Eli,Gardner,Stonehill,Stonehill College,Head Coach,Head Coach
Dan,Hebert,Stonehill,Stonehill College,Offensive Coordinator/Quarterbacks,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Kyle,Jones,Stonehill,Stonehill College,Defensive Coordinator/Linebackers,"Assistant Coach (Defensive Coordinator, Linebackers)"
Jerry,Maher,Stonehill,Stonehill College,Special Teams Coordinator/Wide Receivers,"Assistant Coach (Running Backs, Special Teams)"
Tyler,Royall,Stonehill,Stonehill College,Defensive Backs,Assistant Coach (Defensive Backs)
Thomas,Walsh,Stonehill,Stonehill College,Video Coordinator/Tight Ends,Assistant Coach (Tight Ends)
Chris,Anarumo,Wagner,Wagner College,Defensive Backs,Assistant Coach (Defensive Backs)
Tommy,Brown,Wagner,Wagner College,Assistant Wide Receivers,Assistant Coach (Wide Receivers)
