first_name,last_name,your_school,purchased_school,your_position,purchased_position
BJ,Buckle,Wagner,Wagner College,Defensive Line,Assistant Coach (Defensive Line)
Joseph,Czelusniak,Wagner,Wagner College,Wide Receivers/Assistant Pass Game Coordinator/Pro Liaison,"Assistant Coach (Wide Receivers, Passing-Game Coordinator), Pro Liaison"
Christopher,Evans,Wagner,Wagner College,Defensive Assistant,Assistant Coach (Defense)
George,Gaspar,Wagner,Wagner College,Outside Linebackers/Assistant Special Teams Coordinator,"Assistant Coach (Outside Linebackers, Special Teams)"
Quincy,Guy-Barnes,Wagner,Wagner College,Pass Game Coordinator/Quarterbacks,"Assistant Coach (Quarterbacks, Passing-Game Coordinator)"
David,Kaplan,Wagner,Wagner College,General Manager/Director of Football Operations,"General Manager, Director of Operations"
Tom,Masella,Wagner,Wagner College,Head Coach,Head Coach (Second Email)
Keyon,Means-Bowman,Wagner,Wagner College,Assistant Linebackers,Assistant Coach (Linebackers)
Jim,Munson,Wagner,Wagner College,Special Teams Coordinator/Linebackers,"Assistant Coach (Linebackers, Special Teams)"
Julian,Ortiz,Wagner,Wagner College,Running Backs,Assistant Coach (Running Backs)
Kevin,Singer,Wagner,Wagner College,Tight Ends,Assistant Coach (Tight Ends)
Terence,Sino,Wagner,Wagner College,Offensive Coordinator/Offensive Line,"Assistant Coach (Offensive Coordinator, Offensive Line)"
Chase,King,Augustana,University of Texas - El Paso,Special Teams Coordinator / Linebackers / Camp Coordinator,"Recruiting Operations Coordinator, Transfer Portal Coordinator"
Luke,Olson,Minnesota Duluth,Louisiana Tech University,Special Teams Coordinator / Inside Linebackers,Assistant Coach (Defensive Coordinator)
Jeremiah,Johnson,Minot State,Kansas State University,Volunteer Assistant,Assistant Coach (Defensive Backs)
Mike,Schmidt,Northern State,San Diego State University,Head Football Coach,"Assistant Coach (Offensive Line, Running-Game Coordinator)"
Alex,Johnson,Sioux Falls,East Carolina University,Assistant Coach - Recruiting Coordinator/Linebackers & Special Teams,Recruiting Graduate Assistant
Austin,Flyger,Wayne State (NE),Indiana State University,Defensive Coordinator/Linebackers,Assistant Coach (Defensive Line)
Skyler,Ridley,Boise State,Weber State University,Wide Receivers,"Assistant Coach (Wide Receivers, Special Teams)"
David,Hill,Colorado State,University of Georgia,Running Backs,Player Connections Coordinator
Kyle,Krantz,Colorado State,Liberty University,Special Teams Coordinator / Outside Linebackers,"Assistant Coach (Co-Defensive Coordinator, Defensive Backs)"
Matt,Mitchell,Colorado State,Brigham Young University,Passing Game Coordinator / Quarterbacks,Assistant Coach (Quarterbacks)
Pat,Welsh,Colorado State,Miami University,Tight Ends,"Assistant Coach (Offensive Coordinator, Tight Ends)"
John,Baxter,Fresno State,California State University - Fresno,Associate Head Coach / Special Teams Coordinator,Associate Head Coach (Special Teams)
Nick,Benedetto,Fresno State,California State University - Fresno,Defensive Coordinator,Assistant Coach (Defensive Coordinator)
Adam,Breske,Fresno State,California State University - Fresno,Linebackers,"Assistant Coach (Linebackers, Co-Defensive Coordinator)"
Josh,Davis,Fresno State,California State University - Fresno,Offensive Coordinator,Assistant Coach (Offensive Coordinator)
Matt,Entz,Fresno State,California State University - Fresno,Head Coach,Head Coach
Brian,Ferentz,Fresno State,California State University - Fresno,Tight Ends,Assistant Coach (Tight Ends)
Jordan,Gigli,Fresno State,California State University - Fresno,Defensive Line,Assistant Coach (Defensive Line)
Marcus,Hall-Oliver,Fresno State,California State University - Fresno,Edge,Assistant Coach (Edge Rushers)
DelVon,Hardaway,Fresno State,California State University - Fresno,Wide Receivers,Assistant Coach (Wide Receivers)
Bijan,Hosseini,Fresno State,California State University - Fresno,Assistant Offensive Line,Assistant Coach (Offensive Line)
Aaron,Prier,Fresno State,California State University - Fresno,Running Backs,Assistant Coach (Running Backs)
J.D.,Williams,Fresno State,California State University - Fresno,Cornerbacks,Assistant Coach (Cornerbacks)
AJ,Steward,Oregon State,University of California - Los Angeles - UCLA,Running Backs,Assistant Coach (Running Backs)
Dennis,Thurman,Oregon State,University of Hawaii at Manoa,Associate Defensive Coordinator / Secondary,"Assistant Coach (Defensive Coordinator, Cornerbacks)"
Tim,Tibesar,Oregon State,University of Akron,Defensive Coordinator / Linebackers,"Assistant Coach (Defensive Coordinator, Linebackers)"
Chris,Gistorb,Texas State,Northwestern State University of Louisiana,Defensive Line,Assistant Coach (Defensive Line)
Will,Windham,Texas State,University of South Alabama,Defensive Coordinator,"Assistant Coach (Defensive Coordinator, Safeties)"
Mark,Atuaia,Washington State,University of Utah,Running Backs / Tight Ends,Assistant Coach (Running Backs)
Joel,Filani,Washington State,Abilene Christian University,Wide Receivers,"Assistant Coach (Co-Offensive Coordinator, Wide Receivers)"
Eric,Sanders,Washington State,Eastern Washington University,Cornerbacks,Assistant Coach (Defensive Coordinator)
Brian,Ward,Washington State,Arizona State University,Safeties,Assistant Coach (Defensive Coordinator)
Mac,Austin,Bucknell,University of New Mexico,Assistant Coach (TE's),Graduate Assistant (Defense)
Joe,Collins,Bucknell,Temple University,Assistant Coach (RB's),Graduate Assistant (Offense)
Jordan,Belfiori,Colgate,Butler University,Defensive Coordinator/Outside Linebackers,"Assistant Coach (Defensive Coordinator, Linebackers)"
Ray,Hunter,Colgate,Youngstown State University,Recruiting Coordinator/Defensive Line,Assistant Coach (Defensive Line)
Ian,Pace,Colgate,Long Island University,Wide Receivers,"Assistant Coach (Offensive Line, Running-Game Coordinator)"
Bo,Alexander,Holy Cross,College of the Holy Cross,Defensive Line Coach,Assistant Coach (Defensive Line)
Dan,Curran,Holy Cross,College of the Holy Cross,Head Coach,Head Coach
Shane,Davenport,Holy Cross,College of the Holy Cross,Director of Sport Performance / Head of Football Strength and Conditioning / Pro Liaison,Pro Liaison
Patrick,Denecke,Holy Cross,College of the Holy Cross,Offensive Line Coach,Assistant Coach (Offensive Line)
Andrew,Dresner,Holy Cross,College of the Holy Cross,Offensive Coordinator / Quarterbacks,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Westin,Elliott,Holy Cross,College of the Holy Cross,Running Backs Coach,Assistant Coach (Running Backs)
Rich,Gunnell,Holy Cross,College of the Holy Cross,Assistant Head Coach / Wide Receivers,Assistant Head Coach (Wide Receivers)
Jesse,Monteiro,Holy Cross,College of the Holy Cross,Safeties Coach,Assistant Coach (Safeties)
Mike,Pucko,Holy Cross,College of the Holy Cross,Assistant Defensive Line Coach,Assistant Coach (Defensive Line)
Bryan,Robbat,Holy Cross,College of the Holy Cross,Associate Head Coach / Special Teams Coordinator / Secondary,"Associate Head Coach (Defensive Backs, Special Teams)"
Matt,Schell,Holy Cross,College of the Holy Cross,Tight Ends Coach / Pass Game Coordinator / Recruiting Coordinator,"Recruiting Coordinator, Assistant Coach (Tight Ends, Passing-Game Coordinator)"
Brian,Vaganek,Holy Cross,College of the Holy Cross,Defensive Coordinator,Assistant Coach (Defensive Coordinator)
Jimmy,Walsh,Holy Cross,College of the Holy Cross,Linebackers Coach,Assistant Coach (Linebackers)
Kevin,Baumann,Lafayette,Lafayette College,Assistant Head Coach/Offensive Line,Assistant Coach (Offensive Line)
Meade,Clendaniel,Lafayette,Lafayette College,Safeties,Assistant Coach (Safeties)
Kuony,Deng,Lafayette,Georgetown University,Inside Linebackers,Assistant Coach (Outside Linebackers)
T.J.,DiMuzio,Lafayette,Lafayette College,Offensive Coordinator/Quarterbacks,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Kelly,Gonzalez,Lafayette,Lafayette College,Director of Football Operations,Director of Operations
Anthony,Johnson,Lafayette,University of Nebraska,Recruiting Coordinator/Running Backs,Recruiting Coordinator
Donavon,Nathaniel,Lafayette,Lafayette College,Outside Linebackers,Assistant Coach (Outside Linebackers)
Tyler,Noll,Lafayette,Lafayette College,Tight Ends,Assistant Coach (Tight Ends)
Ryan,Roeder,Lafayette,Lafayette College,Passing Game Coordinator/Wide Receivers,"Assistant Coach (Wide Receivers, Passing-Game Coordinator)"
Mike,Saint Germain,Lafayette,Lafayette College,Defensive Coordinator/Defensive Line,"Assistant Coach (Defensive Coordinator, Defensive Line)"
Jeff,Sejour,Lafayette,Lafayette College,Cornerbacks,Assistant Coach (Cornerbacks)
John,Troxell,Lafayette,Lafayette College,Fred M. Kirby II '42 Head Football Coach,Head Coach
Drew,Folmar,Millersville,Bucknell University,Head Coach,Assistant Coach (Offensive Coordinator)
Jake,Waters,West Chester,Penn State,Running Backs Coach,Assistant Coach (Quarterbacks)
Ben,WooChing,CSU Pueblo,Liberty University,Defensive Line,Graduate Assistant (Defense)
Barry,Casterlin,Erskine,Citadel Military College of South Carolina,Linebackers Coach / Special Teams Coordinator / Recruiting Coordinator,Director of Player Personnel
JaMarcus,Shephard,Alabama,Oregon State University,Wide Receivers,Head Coach
Philip,Montgomery,Auburn,Virginia Tech,Offensive Coordinator / Quarterbacks,Interim Head Coach
Austin,Armstrong,Florida,University of Houston,Defensive Coordinator,Assistant Coach (Defensive Coordinator)
Billy,Napier,Florida,James Madison University,Head Coach,Head Coach
Dell,McGee,Georgia,Georgia State University,Associate Head Coach / Running Backs,Head Coach
Vince,Marrow,Kentucky,University of Louisville,Associate Head Coach / Tight Ends,"Director of Recruiting, Director of Player Personnel"
Brad,White,Kentucky,University of Florida,Defensive Coordinator,Assistant Coach (Defensive Coordinator)
Blake,Baker,LSU,Louisiana State University (LSU),Defensive Coordinator,"Assistant Coach (Defensive Coordinator, Linebackers)"
Joe,Sloan,LSU,University of Kentucky,Offensive Coordinator / Quarterbacks,Assistant Coach (Offensive Coordinator)
Frank,Wilson,LSU,Louisiana State University (LSU),Associate Head Coach / Running Backs,Interim Head Coach (Running Backs)
Kirby,Moore,Missouri,Washington State University,Offensive Coordinator / Quarterbacks,Head Coach
Zac,Alley,Oklahoma,West Virginia University,Defensive Coordinator,"Assistant Head Coach (Defensive Coordinator, Linebackers)"
Pete,Golding,Ole Miss,University of Mississippi,Defensive Coordinator,Head Coach (second email)
Lane,Kiffin,Ole Miss,Louisiana State University (LSU),Head Coach,Head Coach
Charlie,Weis Jr,Ole Miss,Louisiana State University (LSU),Offensive Coordinator / Quarterbacks,Assistant Coach (Offensive Coordinator)
Pete,Lembo,South Carolina,SUNY University at Buffalo,Special Teams Coordinator,Head Coach
Dowell,Loggains,South Carolina,Appalachian State University,Offensive Coordinator,Head Coach
Travaris,Robinson,South Carolina,University of Georgia,Safeties,"Assistant Coach (Co-Defensive Coordinator, Safeties)"
Justin,Stepp,South Carolina,University of Illinois,Wide Receivers,Assistant Coach (Wide Receivers)
Tim,Banks,Tennessee,Auburn University,Defensive Coordinator,"Assistant Coach (Co-Defensive Coordinator, Safeties)"
Mike,Ekeler,Tennessee,University of Nebraska,Special Teams Coordinator / Tight Ends,Assistant Coach (Special Teams)
Brian,Jean-Mary,Tennessee,University of Michigan,Linebackers,"Assistant Coach (Linebackers, Defensive Passing-Game Coordinator)"
Kenny,Baker,Texas,University of Texas - Austin,Defensive Line,Assistant Coach (Defensive Line)
Jeff,Banks,Texas,University of Texas - Austin,Special Teams Coordinator / Tight Ends,"Assistant Head Coach (Tight Ends, Special Teams)"
Michael,Bimonte,Texas,University of Texas - Austin,Co-Passing Game Coordinator / Assistant QB,"Assistant Coach (Quarterbacks, Co-Passing-Game Coordinator)"
LaAllan,Clark,Texas,University of Texas - Austin,Edge,Assistant Coach (Edge Rushers)
Kyle,Flood,Texas,Jacksonville State University,Offensive Coordinator / Offensive Line,Graduate Assistant (Outside Linebackers)
Blake,Gideon,Texas,Georgia Tech,Defensive Passing Game Coordinator / Secondary,Assistant Coach (Defensive Coordinator)
Keynodo,Hudson,Texas,University of Texas - Austin,Nickels,Assistant Coach (Nickelbacks)
Chris,Jackson,Texas,University of Texas - Austin,Passing Game Coordinator / Wide Receivers,"Assistant Coach (Wide Receivers, Passing-Game Coordinator)"
Jabbar,Juluke,Texas,University of Texas - Austin,Associate Head Coach / Running Backs,Assistant Coach (Running Backs)
Brennan,Marion,Texas,University of Colorado - Boulder,Wide Receivers,Assistant Coach (Offensive Coordinator)
AJ,Milwee,Texas,University of Texas - Austin,Co-Offensive Coordinator / Quarterbacks,"Assistant Coach (Co-Offensive Coordinator, Quarterbacks)"
Will,Muschamp,Texas,University of Texas - Austin,Defensive Coordinator,Assistant Coach (Defensive Coordinator)
Steve,Sarkisian,Texas,University of Texas - Austin,Head Coach,Head Coach
DJ,Eliot,Texas A&M,North Carolina State University,Linebackers,"Assistant Coach (Defensive Coordinator, Linebackers)"
Josh,Henson,Texas A&M,Purdue University,Offensive Line,"Assistant Coach (Offensive Coordinator, Tight Ends)"
Collin,Klein,Texas A&M,Kansas State University,Offensive Coordinator / Quarterbacks,Head Coach
AJ,Milwee,Texas A&M,University of Texas - Austin,Running Backs,"Assistant Coach (Co-Offensive Coordinator, Quarterbacks)"
Nick,Howell,Vanderbilt,Utah State University,Defensive Coordinator,"Assistant Coach (Defensive Coordinator, Safeties)"
Derrick,Jackson,Clark Atlanta,Bowling Green State University,Wide Receivers,Assistant Coach (Defensive Backs)
Kevin,Beard,Chattanooga,University of Miami,Offensive Line,Assistant Coach (Wide Receivers)
Matt,Kubik,Chattanooga,Campbell University,Special Teams Coordinator/Inside Linebackers,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Joe,Pizzo,Chattanooga,University of Tennessee - Chattanooga,Offensive Coordinator/Quarterbacks,Assistant Coach (Offensive Coordinator)
Rusty,Wright,Chattanooga,University of Tennessee - Chattanooga,Head Coach,Head Coach
Mike,Yeager,Chattanooga,University of Tennessee - Chattanooga,Defensive Coordinator/Safeties,Assistant Coach (Defensive Coordinator)
Cam,Aiken,ETSU,East Tennessee State University,Defensive Coordinator/Linebackers,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Brian,Blackmon,ETSU,East Tennessee State University,Offensive Coordinator/Quarterbacks,Assistant Head Coach (Tight Ends)
Brandon,Fisher,ETSU,Bowling Green State University,Cornerbacks,Associate Head Coach (Defensive Coordinator)
Will,Healy,ETSU,East Tennessee State University,Head Coach,Head Coach
Eric,Miller,ETSU,Howard University,Wide Receivers,Assistant Coach (Tight Ends)
George,Quarles,ETSU,Austin Peay State University,Tight Ends/Special Teams,Assistant Coach (Tight Ends)
Marcus,Satterfield,ETSU,University of Nebraska,Offensive Line,Assistant Coach (Tight Ends)
Drew,Cronic,Furman,United States Naval Academy,Assistant Head Coach/Offensive Line,Assistant Coach (Offensive Coordinator)
Bryan,Applewhite,Mercer,Western Kentucky University,Offensive Line,Assistant Coach (Running Backs)
Alex,Atkins,Mercer,Louisiana State University (LSU),Linebackers,"Assistant Coach (Tight Ends, Running-Game Coordinator)"
Chris,Jones,Mercer,University of North Carolina at Chapel Hill,Defensive Line,Player Personnel Associate Director
Mickey,Conn,Samford,Clemson University,Offensive Coordinator/Offensive Line,"Assistant Coach (Safeties, Co-Special Teams, Defensive Passing-Game Coordinator)"
Al,Pogue,Samford,University of Missouri,Wide Receivers,Assistant Head Coach (Cornerbacks)
Tony,Coaxum,The Citadel,Citadel Military College of South Carolina,Wide Receivers,Associate Head Coach (Special Teams)
Maurice,Drayton,The Citadel,Citadel Military College of South Carolina,Head Coach,Head Coach
Kevin,Lewis,The Citadel,Furman University,Defensive Coordinator/Linebackers,"Assistant Coach (Defensive Line, Running-Game Coordinator)"
Jared,Backus,VMI,Cornell University,Defensive Coordinator/Linebackers,Assistant Coach (Defensive Coordinator)
Mike,Brown,VMI,University of Notre Dame,Offensive Line,Assistant Coach (Wide Receivers)
Keith,Jones,VMI,Virginia Military Institute - VMI,Defensive Line,"Recruiting Coordinator, Assistant Coach (Tight Ends)"
Aaron,Smith,Western Carolina,United States Military Academy,Graduate Assistant,Assistant Coach (Wide Receivers)
Brian,White,Western Carolina,University of Massachusetts - Amherst,Assistant Head Coach/Running Backs,Assistant Coach (Offensive Line)
Mitch,Doolittle,Wofford,Wofford College,Defensive Coordinator/Linebackers,"Assistant Head Coach (Co-Defensive Coordinator, Inside Linebackers)"
Jonathan,Saxon,Wofford,Wofford College,Offensive Coordinator/Quarterbacks,"Assistant Coach (Co-Defensive Coordinator, Defensive Line)"
Shawn,Watson,Wofford,Wofford College,Head Coach,Head Coach
Tyler,Kelley,Appalachian State,Tulane University,Running Backs,"Recruiting Specialist (Offense), Assistant Coach (Running Backs)"
Ryan,Pugh,Appalachian State,Abilene Christian University,Offensive Line,Assistant Coach (Offensive Line)
Tyler,Zielenske,Appalachian State,Samford University,Special Teams Coordinator,"Recruiting Coordinator, Assistant Coach (Special Teams)"
Nelson,Fishback,Coastal Carolina,New Mexico State University,Special Teams Coordinator/Assistant Quarterbacks Coach,"Assistant Coach (Tight Ends, Special Teams)"
Everette,Sands,Coastal Carolina,Citadel Military College of South Carolina,Running Backs Coach,"Recruiting Coordinator, Assistant Head Coach (Running Backs)"
Kevon,Beckwith,Georgia Southern,Stephen F Austin State University,Defensive Line Coach,Assistant Coach (Defensive Line)
Andre,Crenshaw,Georgia Southern,Coastal Carolina University,Running Backs Coach,Assistant Coach (Running Backs)
Prather,Hudson,Georgia Southern,University of Georgia,Safeties Coach,Graduate Assistant (Defense)
Mike,Mutz,Georgia Southern,Stephen F Austin State University,Defensive Coordinator,Assistant Coach (Defensive Coordinator)
Andrew,Neupert,Georgia Southern,Stephen F Austin State University,Outside Linebackers Coach,Assistant Coach (Outside Linebackers)
Bob,Chesney,James Madison,University of California - Los Angeles - UCLA,Head Coach,Head Coach
Chris,Smith,James Madison,Stephen F Austin State University,Offensive Line/Run Game Coordinator,"Assistant Coach (Defensive Backs), Director of Player Development"
George,Barlow,Louisiana,University of Louisiana - Lafayette,Assistant Coach/CB,Assistant Coach (Cornerbacks)
Matt,Bergeron,Louisiana,University of Louisiana - Lafayette,Assistant Coach/RB,Assistant Coach (Running Backs)
Michael,Desormeaux,Louisiana,University of Louisiana - Lafayette,Head Coach,Head Coach
Tim,Leger,Louisiana,University of Louisiana - Lafayette,Offensive Coordinator/Recruiting Coordinator/WR,"Recruiting Coordinator, Assistant Coach (Offensive Coordinator, Wide Receivers)"
Jorge,Munoz,Louisiana,University of Louisiana - Lafayette,Associate Head Coach/TE,Associate Head Coach (Tight Ends)
Jim,Salgado,Louisiana,University of Louisiana - Lafayette,Defensive Coordinator/Safeties,"Assistant Coach (Defensive Coordinator, Safeties)"
Dean,Hood,Marshall,University of Kentucky,Safeties,Director of Player Development
Wendy,Laurent,Old Dominion,Ohio State University,Tight Ends,Assistant Coach (Tight Ends)
Phil,Serchia,Old Dominion,University of Tennessee,Offensive Line/Run Game Coordinator,Assistant Coach (Offense)
Michael,Smith,Old Dominion,San Jose State University,Wide Receivers,Assistant Coach (Running Backs)
Blake,Anderson,Southern Miss,University of Southern Mississippi,Head Coach/Offensive Coordinator/Quarterbacks,Head Coach
Joe,Bolden,Southern Miss,University of Southern Mississippi,Special Teams Coordinator,"Assistant Coach (Defensive Coordinator, Linebackers)"
Dominique,Bowman,Southern Miss,University of Memphis,Defensive Backs,"Assistant Coach (Defensive Backs, Safeties)"
Jason,Semore,Southern Miss,University of Memphis,Defensive Coordinator/Linebackers,"Assistant Coach (Defensive Coordinator, Linebackers)"
Adam,Austin,Troy,Tarleton State University,Offensive Coordinator/Quarterbacks,Assistant Coach (Offensive Coordinator)
Cameron,Blankenship,UL Monroe,University of Louisiana - Monroe,Assistant Coach - Offensive Line,Assistant Coach (Offensive Line)
Taylor,Dupuis,UL Monroe,University of Louisiana - Monroe,Assistant Coach - Quarterbacks,Assistant Coach (Quarterbacks)
Earnest,Hill,UL Monroe,University of Louisiana - Monroe,Assistant Head Coach/Cornerbacks,Assistant Head Coach (Defensive Coordinator)
Chris,Jones,UL Monroe,University of North Carolina at Chapel Hill,Pass Game Coordinator/Safeties,Player Personnel Associate Director
Tony,McClain,UL Monroe,East Texas A&M University,Special Teams Coordinator/Defensive Line Assistant,"Assistant Coach (Special Teams, Defensive Line)"
Troy,Reffett,UL Monroe,University of Louisiana - Monroe,Defensive Coordinator/Inside Linebackers,"Assistant Coach (Inside Linebackers, Defensive Running-Game Coordinator)"
Bryant,Vincent,UL Monroe,University of Louisiana - Monroe,Head Football Coach,Head Coach
Brady,Vincent,UL Monroe,University of Louisiana - Monroe,Assistant Coach - Tight Ends,Assistant Coach (Tight Ends)
Cody,Wells,UL Monroe,University of Louisiana - Monroe,Assistant Receivers Coach,Assistant Coach (Offense)
Marc,Yellock,UL Monroe,Hampton University,Run Game Coordinator/Defensive Line,Assistant Coach (Defensive Line)
Miguel,Black,Arkansas-Pine Bluff,University of Arkansas at Pine Bluff,Running Backs Coach / Recruiting Coordinator,"Recruiting Coordinator, Assistant Coach (Running Backs)"
Jeff,Burrow,Arkansas-Pine Bluff,University of Arkansas at Pine Bluff,Defensive Coordinator / Defensive Back,"Assistant Coach (Defensive Coordinator, Safeties)"
Alonzo,Hampton,Arkansas-Pine Bluff,University of Arkansas at Pine Bluff,Head Coach,Head Coach
Tony,Hull,Arkansas-Pine Bluff,University of Arkansas at Pine Bluff,Offensive Coordinator/ QB Coach,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Pierre,Ingram,Arkansas-Pine Bluff,University of Arkansas at Pine Bluff,Wide Receiver Coach,Assistant Coach (Wide Receivers)
Donovan,Jackson,Arkansas-Pine Bluff,University of Arkansas at Pine Bluff,Offensive Line Coach,Assistant Coach (Offensive Line)
Nathan,Jones,Arkansas-Pine Bluff,Alabama A&M University,Linebackers / Defensive Recruiting Coordinator,Assistant Coach (Special Teams)
Tom,Manley,Arkansas-Pine Bluff,University of Arkansas at Pine Bluff,Special Teams Coordinator / Tight Ends,"Assistant Coach (Tight Ends, Special Teams)"
George,Ricumstrict,Arkansas-Pine Bluff,University of Arkansas at Pine Bluff,Defensive Line,Assistant Coach (Defensive Line)
Marshall,Faulk,Southern University,Southern University & A&M College,Head Coach,Head Coach
Ricky,Jackson,Southern University,Southern University & A&M College,Director of Football Operations,"Director of Player Personnel, Director of Operations"
